sno,district,mandal,village,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR
43,JAGITYAL,Korutla,Korutla,0,190,170,1.31,62.40863636,119,30,2,56,97.24,539.8355263,0.561387435
44,JAGITYAL,Mallapur,Mallapur,0,200,100,1.15,62.81127273,100,165,14,48,5,120,6.548856666
45,JAGITYAL,Mallial,Nukapalli,80,380,240,2.43,18.31995455,115,202,14,80,48.62,399.9177632,4.391755826
46,JAGITYAL,Metpalli,Metpalli,0,310,140,2.89,22.74895455,86,165,45,24,34.034,199.9424342,5.073452757
47,JAGITYAL,Pegadapalli,Pegadapalli,0,310,120,2.4,46.5045,41,200,13,24,38.896,219.9342105,5.863484282
48,JAGITYAL,Raikal,Raikal,0,90,120,1.22,43.68604545,100,52,4,64,29.172,279.9506579,1.351247058
49,JAGITYAL,Sarangapur,Sarangapur,0,140,150,2.25,82.54045455,122,112,2,56,38.896,299.9342105,2.811753112
50,JAGITYAL,Velgatur,Velgatur,50,200,150,0.71,62.81127273,115,114,4,56,58.344,379.9013158,2.542972223
51,JANGAON,Bachannapet,Bachannapet,30,160,30,1.55,24.76213636,44,61,8,16,29.172,159.9506579,2.097050957
52,JANGAON,Devaruppula,Singarajupalli,0,230,230,0.65,177.16,152,188,8,80,58.344,439.9013158,3.897197208
53,JANGAON,Jangaon,Jangaon,0,210,110,0.81,72.87718182,85,114,6,48,34.034,259.9424342,3.07424464
54,JANGAON,Lingala ghanpur,Lingala ghanpur,50,220,110,0.37,46.30318182,90,133,7,48,34.034,259.9424342,3.586618747
55,JANGAON,Palakurthi,Palakurthi,0,130,20,1.21,5.435590909,27,42,2,8,19.448,99.96710526,1.826387374
56,JANGAON,Raghunadhapalli,Raghunadhapalli,30,270,150,1.36,43.08209091,105,136,3,56,53.482,359.9095395,3.116839172
57,JANGAON,Zafergad,Zafergad,0,260,340,0.2,26.574,171,214,12,80,63.206,459.8930921,4.338678745
58,JOGULAMBA(GADWAL),Alampur,Alampur,40,430.7977641,720,0.65,1.06296,136,714.8001947,5.9,32,4.862,99.99177632,31.0795473
59,JOGULAMBA(GADWAL),Dharoor,Dharoor,0,356.3603859,340,2.52,149.92165,32,92.84248259,6.6,56,160.446,799.7286184,1.427406237
60,JOGULAMBA(GADWAL),Dharoor,Neelahally,0,382.9369833,390,1.04,21.812825,95,196.2029156,3.3,112,87.516,639.8519737,3.372390552
61,JOGULAMBA(GADWAL),Gadwal,Gadwal,0,414.942978,600,0.45,68.2066,110,218.734442,3.3,120,165.308,979.7203947,3.038353229
62,JOGULAMBA(GADWAL),Gattu,Gattu,20,275.9653557,190,0.616,77.9504,18,44.22634977,1.89,184,24.31,559.9588816,0.812596957
63,JOGULAMBA(GADWAL),Ieeza,Ieeza,40,664.1472968,370,0.719,134.6416,40,568.3305615,6.6,24,24.31,159.9588816,19.53750018
64,JOGULAMBA(GADWAL),K-T Doddi,Kondapur,0,193.934322,180,0.46,183.13915,30,100.0220632,1.53,104,38.896,419.9342105,2.122156188
65,JOGULAMBA(GADWAL),K-T Doddi,Kuchinerla,0,198.3671489,30,0.95,46.5045,10,24.83216741,0.37,56,24.31,239.9588816,0.696976888
66,JOGULAMBA(GADWAL),Maldakal,Maldakal,0,300.5375921,260,3.08,153.90775,24,106.2358424,1.56,48,116.688,599.8026316,1.885988528
67,JOGULAMBA(GADWAL),Manopad,Manopad,0,575.9846386,570,0.88,154.5721,162,589.2740193,51.6,32,68.068,359.8848684,13.50540662
68,JOGULAMBA(GADWAL),Waddepalli,Santhinagar,0,553.2378092,550,0.99,126.00505,176,409.5295499,12.7,80,131.274,739.7779605,6.546462941
69,KAMAREDDY,Bansawada,Bansawada,0,489.7614248,80,4.9,108.5105,138.25,279.7578626,2.2,40,34.034,239.9424342,7.852373252
70,KAMAREDDY,Bhiknoor,Bhiknoor,0,368.4292466,200,1.16,92.5661,21,87.94870116,8.57,120,63.206,559.8930921,1.616028589
71,KAMAREDDY,Bhiknoor,P.D.Mallareddy,0,300.8101093,50,1.06,65.1063,31.75,75.48433963,1.63,56,38.896,299.9342105,1.895029704
72,KAMAREDDY,Bibipet,Bibipet,0,235.1172326,150,1.12,80.38635,12.25,33.46075998,1.69,80,63.206,459.8930921,0.678390131
73,KAMAREDDY,BICHKUNDA,Pulkal,0,249.0475642,220,1.05,77.5075,23.25,79.92125619,4.17,144,29.172,479.9506579,1.586120469
74,KAMAREDDY,Domakonda,Domakonda,0,272.8950739,170,1.67,70.4211,16.5,107.3902156,3.93,88,34.034,359.9424342,2.461049525
75,KAMAREDDY,Gandhari,Gandhari,0,391.4417759,50,1.74,12.246185,12.75,70.54645356,1.28,40,58.344,339.9013158,1.663684335
76,KAMAREDDY,Gandhari,Sarvapoor,0,333.3975339,70,1.62,52.97084,12.25,80.46929257,2,64,38.896,319.9342105,1.956014214
77,KAMAREDDY,Jukkal,Jukkal,0,552.000145,720,2.98,143.9425,90,409.1738344,190.5,112,97.24,679.8355263,6.823042712
78,KAMAREDDY,Kamareddy,Adloor,0,189.9100716,60,2.01,34.5462,6.25,42.2707476,2.53,80,4.862,219.9917763,1.239107169
79,KAMAREDDY,Kamareddy,Narasannapally,0,306.5545796,80,2.8,33.88185,15.5,77.92151393,2.2,88,19.448,299.9671053,1.956107552
80,KAMAREDDY,Lingampet,Bhavanipet,0,380.2096233,100,1.34,81.9365,15,106.1481337,3.44,88,38.896,379.9342105,2.367719913
81,KAMAREDDY,Machareddy,Machareddy,0,205.3209584,30,0.97,5.602685,6,19.47194868,1.02,64,14.586,219.9753289,0.570813969
82,KAMAREDDY,Maddnur,Menoor,0,231.7319922,40,0.56,50.9335,9,45.93396045,4.37,72,14.586,239.9753289,1.289207307
83,KAMAREDDY,Nagireddipet,Malthummeda,0,328.9507106,80,1.5,17.250955,9.25,51.24898723,2.63,72,43.758,359.9259868,1.174494127
84,KAMAREDDY,Nasurullabad,Nasurullabad,0,353.1889565,40,1.5,14.460685,14.25,65.56554923,1.88,88,19.448,299.9671053,1.645928827
85,KAMAREDDY,Nizamsagar,Mohammadnagar,0,225.4979664,50,0.6,15.169325,7.75,37.77247864,0.48,64,19.448,239.9671053,1.060160922
86,KAMAREDDY,Rajampet,Argonda,0,293.493258,20,1.37,8.63655,10,47.25617918,2.53,56,24.31,239.9588816,1.326362864
87,KAMAREDDY,RAMAREDDY,Reddypet,0,300.531409,100,1.1,39.19665,1.5,65.10218026,2.21,80,34.034,339.9424342,1.535200161
88,KAMAREDDY,Sadasivanagar,Sadasivanagar,0,171.8470359,60,1.7,35.432,11.5,27.65815402,2.26,80,9.724,239.9835526,0.776255367
89,KAMAREDDY,Tadwai,Yerrapahad,0,254.9079567,100,0.98,106.7389,22,52.25441718,1.24,80,48.62,399.9177632,1.136082382
90,KARIMNAGAR,Choppadandi,Rukmapur,0,160,20,0.29,31.003,32,57,3,16,19.448,119.9671053,2.262642445
91,KARIMNAGAR,Gangadhara,Gangadhara,0,220,70,1.04,31.40563636,51,89,5,32,29.172,199.9506579,2.736533392
92,KARIMNAGAR,Huzurabad,Huzurabad,0,180,50,0.74,45.49790909,56,75,4,24,29.172,179.9506579,2.430841869
93,KARIMNAGAR,Saidapur,Saidapur,0,170,80,1.28,142.3319545,66,114,2,32,34.034,219.9424342,3.342123558
94,KARIMNAGAR,Thimmapur,Alugunur,0,120,20,0.87,20.73577273,32,44,4,16,14.586,99.97532895,1.913279506
95,KHAMMAM,Bonakal,Mustikunta,0,416.512779,400,0.66,221.45,42,129.4793928,4.7,48,199.342,939.6628289,1.8364825
96,KHAMMAM,Kallur,Kallur,0,162.1474986,190,1.14,62.006,21,100.3156578,11,40,43.758,279.9259868,2.606869437
97,KHAMMAM,Kamepalli,Kothalingala,40,171.8690718,120,0.83,86.3655,14,84.85990054,8,104,4.862,279.9917763,2.204966748
98,KHAMMAM,Khammam (R ),M.V.Palem,0,474.2730924,380,1.1,243.595,44,168.6257531,8.8,184,106.964,899.8190789,2.444097167
99,KHAMMAM,Khammam(U),Khammam I,0,405.2368415,80,2.03,12.4012,12,94.36825248,5,56,48.62,339.9177632,2.225415695
100,KHAMMAM,Khammam(U),Khammam-II,0,420.2476493,150,1.18,66.435,24,125.7870809,8.9,24,92.378,439.84375,2.607708184
101,KHAMMAM,Konijerla,Konijerla,0,293.9329627,130,1.18,57.577,20,60.61068885,3,72,58.344,419.9013158,1.286020128
102,KHAMMAM,Kusumanchi,Kusumanchi,0,231.7532008,130,1.12,93.009,19,35.72279257,2,112,38.896,439.9342105,0.740497673
103,KHAMMAM,Mudigonda,Mudigonda,0,287.2857324,90,1.09,110.725,18,48.39248297,6,72,58.344,419.9013158,1.026777757
104,KHAMMAM,Sathupalli,Prakashnagar,0,211.7210458,70,0.88,27.4598,11,40.70985836,2,24,48.62,259.9177632,1.097877222
105,KHAMMAM,Thallada,Anjanapuram,0,470.8198856,220,1.52,35.432,33,164.0807686,3.5,56,87.516,499.8519737,3.190870214
106,KHAMMAM,Thirumalayapalem,Bachode,0,517.0686891,190,0.74,53.148,25,102.3019911,7,40,131.274,639.7779605,1.758496923
107,KHAMMAM,Thirumalayapalem,Tirumalayapalem,0,232.708683,160,0.7,263.5255,27,115.8534108,1,112,43.758,459.9259868,2.348751193
108,KHAMMAM,Vemsur,Vemsur,0,174.4241532,130,0.73,95.2235,21,103.5167455,0.5,32,38.896,239.9342105,2.905605748
109,KHAMMAM,Yerrupalem,Banigandlapadu,0,388.2618294,20,1.19,64.2205,10,22.00807446,0.5,32,87.516,439.8519737,0.456247963
110,KUMURAM BHEEM,Asifabad,Asifabad,0,420,70,1.42,28.98981818,125,200,2,24,43.758,239.9259868,5.613885037
111,KUMURAM BHEEM,Kagaznagar,Kagaznagar,0,160,40,1.04,53.34931818,59,74,2,24,24.31,159.9588816,2.543898061
112,KUMURAM BHEEM,Kerameri,Kerameri,0,230,40,0.3,54.55722727,32,84,2,48,14.586,179.9753289,2.722356283
113,KUMURAM BHEEM,Kowthala,Kowthala,0,200,30,0.42,25.36609091,27,51,1,24,29.172,179.9506579,1.652972471
114,KUMURAM BHEEM,Rebbena,Rebbena II,0,240,40,1.01,21.74236364,30,68,0.3,24,34.034,199.9424342,2.0908775
115,KUMURAM BHEEM,Tiryani,Tiryani,0,290,30,0.79,16.30677273,30,55,15,32,43.758,239.9259868,1.543818385
116,MAHABUBABAD,Dhantalapally,Dhantalapally,0,280,260,2.94,82.54045455,197,249,2,56,58.344,379.9013158,5.554386698
117,MAHABUBABAD,Dornakal,Mannegudem,60,510,30,3.76,6.844818182,56,141,2,40,68.068,379.8848684,3.145323206
118,MAHABUBABAD,Kesamudram,Kesamudram,0,300,70,2.85,64.42181818,103,92,1,40,63.206,359.8930921,2.108498207
119,MAHABUBABAD,Koravi,Ayyagaripally,60,230,90,2.11,68.44818182,127,59,3,56,82.654,479.8601974,1.171026738
120,MAHABUBABAD,Mahabubabad,Mahabubabad,30,200,50,4.24,70.46136364,171,103,1,16,68.068,319.8848684,2.503874402
121,MAHABUBABAD,Marripeda,Marripeda,0,310,260,2.06,82.54045455,177,306,9,32,43.758,259.9259868,8.252180899
122,MAHABUBABAD,Nellikudur,Nellikudur,0,30,20,0.11,22.54763636,31,22,1,8,9.724,59.98355263,1.235033542
123,MAHABUBABAD,Torrur,Torrur,0,280,260,1.17,102.6722727,143,166,2,64,87.516,519.8519737,3.165486046
124,MAHABUBNAGAR,Bhoothpur,Elkicherla,0,112.4008831,50,0.19,1.99305,12,35.93565348,2.25,40,4.862,119.9917763,1.426336413
125,MAHABUBNAGAR,CC Kunta,Damagnapur,60,173.5035021,50,0.52,1.10725,10,63.72342624,2.5,32,24.31,179.9588816,2.065307109
